date,time,symbol,itype,action,buy_price,sell_price,qty,investment,stop_loss,target,pnl,result,rsi,macd,bb_pct,reason
2026-04-25,10:49,ETH-USD,CRYPTO,BUY,2314.1899,,2,4628.38,2221.6223,2406.7575,,,34.83,0,0,RSI BUY
2026-04-25,10:49,SOL-USD,CRYPTO,BUY,86.18,,58,4998.44,82.7328,89.6272,,,34.19,0,0,RSI BUY
2026-04-25,10:52,SOL-USD,CRYPTO,BUY,86.18,,58,4998.44,82.7328,89.6272,,,34.09,0,0,RSI BUY
2026-04-25,10:55,SOL-USD,CRYPTO,BUY,86.18,,58,4998.44,82.7328,89.6272,,,34.04,0,0,RSI BUY
2026-04-25,12:08,DOGE-USD,CRYPTO,BUY,0.0981,,50968,4999.96,0.0942,0.102,,,32.67,0,0,RSI BUY
2026-04-25,12:08,DOGE-USD,CRYPTO,BUY,0.0982,,50916,4999.95,0.0943,0.1021,,,33.94,0,0,RSI BUY
2026-04-25,12:08,DOGE-USD,CRYPTO,BUY,0.0982,,50916,4999.95,0.0943,0.1021,,,33.94,0,0,RSI BUY
2026-04-25,12:34,OP-USD,CRYPTO,BUY,0.128,,37109,4749.95,0.1229,0.1331,,,28.44,0,0,RSI BUY
2026-04-25,12:34,OP-USD,CRYPTO,BUY,0.128,,37109,4749.95,0.1229,0.1331,,,28.44,0,0,RSI BUY
2026-04-25,12:39,OP-USD,CRYPTO,BUY,0.128,,37109,4749.95,0.1229,0.1331,,,28.44,0,0,RSI BUY
2026-04-25,21:32,BTC-USD,CRYPTO,BUY,77417.8438,,1,77417.84,74321.13,80514.5576,,,29.26,0,0,RSI BUY
2026-04-25,21:32,ETH-USD,CRYPTO,BUY,2309.5,,1,2309.5,2217.12,2401.88,,,33.11,0,0,RSI BUY
2026-04-25,21:38,AAVE-USD,CRYPTO,BUY,94.6,,10,946.0,90.816,98.384,,,33.02,0,0,RSI BUY
2026-04-25,21:58,LINK-USD,CRYPTO,BUY,9.336,,103,961.61,8.9626,9.7094,,,29.41,0,0,RSI BUY
2026-04-25,21:58,OP-USD,CRYPTO,BUY,0.125,,7346,918.25,0.12,0.13,,,31.23,0,0,RSI BUY
2026-04-26,13:52,ADA-USD,CRYPTO,BUY,0.2505,,19960,4999.98,0.2405,0.2605,,,34.86,0,0,RSI BUY
2026-04-26,20:17,USDCHF=X,FOREX,BUY,0.7846,,6372,4999.47,0.7532,0.816,,,31.63,0,0,RSI BUY
2026-04-27,09:11,CL=F,COMMODITY,BUY,95.17,,52,4948.84,91.3632,98.9768,,,31.67,0,0,RSI BUY
2026-04-27,09:11,KC=F,COMMODITY,BUY,285.2,,16,4563.2,273.792,296.608,,,13.41,0,0,RSI BUY
2026-04-27,09:11,USDJPY=X,FOREX,BUY,159.215,,28,4458.02,152.8464,165.5836,,,34.03,0,0,RSI BUY
2026-04-27,09:11,USDCHF=X,FOREX,BUY,0.7845,,5483,4301.41,0.7531,0.8159,,,31.81,0,0,RSI BUY
2026-04-27,09:17,EURGBP=X,FOREX,BUY,0.8659,,4719,4086.18,0.8313,0.9005,,,27.26,0,0,RSI BUY
2026-04-27,09:17,USDSGD=X,FOREX,BUY,1.2744,,3046,3881.82,1.2234,1.3254,,,34.76,0,0,RSI BUY
2026-04-27,09:23,NG=F,COMMODITY,BUY,2.688,,1372,3687.94,2.5805,2.7955,,,34.29,0,0,RSI BUY
2026-04-27,09:28,ZW=F,COMMODITY,BUY,618.25,,5,3091.25,593.52,642.98,,,31.79,0,0,RSI BUY
2026-04-27,09:45,ADA-USD,CRYPTO,BUY,0.2537,,13815,3504.87,0.2436,0.2638,,,33.58,0,0,RSI BUY
2026-04-27,10:42,ICICIBANK.NS,STOCK,BUY,1314.9,,3,3944.7,1262.304,1367.496,,,26.33,0,0,RSI BUY
2026-04-27,10:43,KC=F,COMMODITY,BUY,285.2,,16,4563.2,273.792,296.608,,,13.41,0,0,RSI BUY
2026-04-27,10:43,BTC-USD,CRYPTO,BUY,78624.5,,1,78624.5,75479.52,81769.48,,,24.53,0,0,RSI BUY
2026-04-27,10:43,ETH-USD,CRYPTO,BUY,2367.78,,1,2367.78,2273.0688,2462.4912,,,19.41,0,0,RSI BUY
2026-04-27,10:43,LINK-USD,CRYPTO,BUY,9.478,,55,521.29,9.0989,9.8571,,,29.36,0,0,RSI BUY
2026-04-27,10:43,AAVE-USD,CRYPTO,BUY,97.47,,5,487.35,93.5712,101.3688,,,29.44,0,0,RSI BUY
2026-04-27,10:46,ICICIBANK.NS,STOCK,BUY,1315.7,,3,3947.1,1263.072,1368.328,,,28.88,0,0,RSI BUY
2026-04-27,10:46,KC=F,COMMODITY,BUY,285.2,,16,4563.2,273.792,296.608,,,13.41,0,0,RSI BUY
2026-04-27,10:46,BTC-USD,CRYPTO,BUY,78120.5,,1,78120.5,74995.68,81245.32,,,14.95,0,0,RSI BUY
2026-04-27,10:46,ETH-USD,CRYPTO,BUY,2355.97,,1,2355.97,2261.7312,2450.2088,,,14.89,0,0,RSI BUY
2026-04-27,10:46,LINK-USD,CRYPTO,BUY,9.431,,1,9.43,9.0538,9.8082,,,22.22,0,0,RSI BUY
2026-04-27,10:46,AAVE-USD,CRYPTO,BUY,97.01,,1,97.01,93.1296,100.8904,,,25.95,0,0,RSI BUY
2026-04-27,10:52,GBPUSD=X,FOREX,BUY,1.3537,,4,5.41,1.2996,1.4078,,,34.5,0,0,RSI BUY
2026-04-27,10:55,KC=F,COMMODITY,BUY,285.2,,17,4848.4,273.792,296.608,,,13.41,0,0,RSI BUY
2026-04-27,10:55,BTC-USD,CRYPTO,BUY,77971.8438,,1,77971.84,74852.97,81090.7176,,,13.3,0,0,RSI BUY
2026-04-27,10:55,ETH-USD,CRYPTO,BUY,2331.7,,1,2331.7,2238.432,2424.968,,,9.32,0,0,RSI BUY
2026-04-27,10:55,LINK-USD,CRYPTO,BUY,9.383,,1,9.38,9.0077,9.7583,,,17.42,0,0,RSI BUY
2026-04-27,10:55,AAVE-USD,CRYPTO,BUY,95.98,,1,95.98,92.1408,99.8192,,,19.69,0,0,RSI BUY
2026-04-27,21:02,KC=F,COMMODITY,BUY,288.1,,17,4897.7,276.576,299.624,,,33.73,0,0,RSI BUY
2026-04-27,21:02,BTC-USD,CRYPTO,BUY,76953.9766,,1,76953.98,73875.8175,80032.1357,,,34.39,0,0,RSI BUY
2026-04-27,21:02,ETH-USD,CRYPTO,BUY,2281.75,,1,2281.75,2190.48,2373.02,,,34.11,0,0,RSI BUY
2026-04-27,21:03,JNJ,US_STOCK,BUY,225.54,,3,676.62,216.5184,234.5616,,,31.96,0,0,RSI BUY
2026-04-27,21:03,WMT,US_STOCK,BUY,128.3735,,5,641.87,123.2386,133.5084,,,34.66,0,0,RSI BUY
2026-04-27,21:08,KO,US_STOCK,BUY,75.905,,9,683.14,72.8688,78.9412,,,33.56,0,0,RSI BUY
2026-04-27,21:19,LINK-USD,CRYPTO,BUY,9.179,,1,9.18,8.8118,9.5462,,,32.96,0,0,RSI BUY
2026-04-27,21:19,CVX,US_STOCK,BUY,184.68,,3,554.04,177.2928,192.0672,,,34.91,0,0,RSI BUY
2026-04-28,07:05,EURINR=X,FOREX,BUY,110.3614,,45,4966.26,105.9469,114.7759,,,29.13,0,0,RSI BUY
2026-04-28,07:05,GBPINR=X,FOREX,BUY,127.3817,,37,4713.12,122.2864,132.477,,,31.38,0,0,RSI BUY
2026-04-28,07:26,EURUSD=X,FOREX,BUY,1.1716,,3854,4515.35,1.1247,1.2185,,,34.94,0,0,RSI BUY
2026-04-28,07:31,GBPUSD=X,FOREX,BUY,1.3524,,3172,4289.81,1.2983,1.4065,,,34.07,0,0,RSI BUY
2026-04-28,07:31,USDHKD=X,FOREX,BUY,7.8355,,520,4074.46,7.5221,8.1489,,,29.15,0,0,RSI BUY
2026-04-28,08:08,BTC-USD,CRYPTO,BUY,76897.2734,,1,76897.27,73821.3825,79973.1643,,,32.87,0,0,RSI BUY
2026-04-28,08:08,SOL-USD,CRYPTO,BUY,84.23,,1,84.23,80.8608,87.5992,,,34.38,0,0,RSI BUY
