time,symbol,action,price,qty,rsi,pnl,reason
10:49,ETH-USD,BUY,2314.19,2,34.83,,RSI BUY
10:49,SOL-USD,BUY,86.18,58,34.19,,RSI BUY
10:52,SOL-USD,BUY,86.18,58,34.09,,RSI BUY
10:55,SOL-USD,BUY,86.18,58,34.04,,RSI BUY
12:08,DOGE-USD,BUY,0.1,50968,32.67,,RSI BUY
12:08,DOGE-USD,BUY,0.1,50916,33.94,,RSI BUY
12:08,DOGE-USD,BUY,0.1,50916,33.94,,RSI BUY
12:34,OP-USD,BUY,0.13,37109,28.44,,RSI BUY
12:34,OP-USD,BUY,0.13,37109,28.44,,RSI BUY
12:39,OP-USD,BUY,0.13,37109,28.44,,RSI BUY
21:32,BTC-USD,BUY,77417.84,1,29.26,,RSI BUY
21:32,ETH-USD,BUY,2309.5,1,33.11,,RSI BUY
21:38,AAVE-USD,BUY,94.6,10,33.02,,RSI BUY
21:58,LINK-USD,BUY,9.34,103,29.41,,RSI BUY
21:58,OP-USD,BUY,0.12,7346,31.23,,RSI BUY
13:52,ADA-USD,BUY,0.25,19960,34.86,,RSI BUY
20:17,USDCHF=X,BUY,0.78,6372,31.63,,RSI BUY
09:11,CL=F,BUY,95.17,52,31.67,,RSI BUY
09:11,KC=F,BUY,285.2,16,13.41,,RSI BUY
09:11,USDJPY=X,BUY,159.22,28,34.03,,RSI BUY
09:11,USDCHF=X,BUY,0.78,5483,31.81,,RSI BUY
09:17,EURGBP=X,BUY,0.87,4719,27.26,,RSI BUY
09:17,USDSGD=X,BUY,1.27,3046,34.76,,RSI BUY
09:23,NG=F,BUY,2.69,1372,34.29,,RSI BUY
09:28,ZW=F,BUY,618.25,5,31.79,,RSI BUY
09:45,ADA-USD,BUY,0.25,13815,33.58,,RSI BUY
10:42,ICICIBANK.NS,BUY,1314.9,3,26.33,,RSI BUY
10:43,KC=F,BUY,285.2,16,13.41,,RSI BUY
10:43,BTC-USD,BUY,78624.5,1,24.53,,RSI BUY
10:43,ETH-USD,BUY,2367.78,1,19.41,,RSI BUY
10:43,LINK-USD,BUY,9.48,55,29.36,,RSI BUY
10:43,AAVE-USD,BUY,97.47,5,29.44,,RSI BUY
10:46,ICICIBANK.NS,BUY,1315.7,3,28.88,,RSI BUY
10:46,KC=F,BUY,285.2,16,13.41,,RSI BUY
10:46,BTC-USD,BUY,78120.5,1,14.95,,RSI BUY
10:46,ETH-USD,BUY,2355.97,1,14.89,,RSI BUY
10:46,LINK-USD,BUY,9.43,1,22.22,,RSI BUY
10:47,AAVE-USD,BUY,97.01,1,25.95,,RSI BUY
10:52,GBPUSD=X,BUY,1.35,4,34.5,,RSI BUY
10:55,KC=F,BUY,285.2,17,13.41,,RSI BUY
10:55,BTC-USD,BUY,77971.84,1,13.3,,RSI BUY
10:55,ETH-USD,BUY,2331.7,1,9.32,,RSI BUY
10:55,LINK-USD,BUY,9.38,1,17.42,,RSI BUY
10:55,AAVE-USD,BUY,95.98,1,19.69,,RSI BUY
21:02,KC=F,BUY,288.1,17,33.73,,RSI BUY
21:02,BTC-USD,BUY,76953.98,1,34.39,,RSI BUY
21:03,ETH-USD,BUY,2281.75,1,34.11,,RSI BUY
21:03,JNJ,BUY,225.54,3,31.96,,RSI BUY
21:03,WMT,BUY,128.37,5,34.66,,RSI BUY
21:08,KO,BUY,75.91,9,33.56,,RSI BUY
21:19,LINK-USD,BUY,9.18,1,32.96,,RSI BUY
21:19,CVX,BUY,184.68,3,34.91,,RSI BUY
07:05,EURINR=X,BUY,110.36,45,29.13,,RSI BUY
07:05,GBPINR=X,BUY,127.38,37,31.38,,RSI BUY
07:26,EURUSD=X,BUY,1.17,3854,34.94,,RSI BUY
07:31,GBPUSD=X,BUY,1.35,3172,34.07,,RSI BUY
07:32,USDHKD=X,BUY,7.84,520,29.15,,RSI BUY
08:08,BTC-USD,BUY,76897.27,1,32.87,,RSI BUY
08:08,SOL-USD,BUY,84.23,1,34.38,,RSI BUY
08:08,LINK-USD,BUY,9.27,1,34.57,,RSI BUY
12:00,ICICIBANK.NS,BUY,1304.4,1,29.72,,RSI BUY
12:00,SBIN.NS,BUY,1097.0,1,28.42,,RSI BUY
12:16,SBIN.NS,BUY,1096.35,1,29.15,,RSI BUY
12:17,BANKBEES.NS,BUY,574.68,1,29.73,,RSI BUY
12:28,SBIN.NS,BUY,1094.85,2,26.1,,RSI BUY
12:28,LT.NS,BUY,4037.1001,1,27.68,,RSI BUY
12:28,^NSEI,BUY,24018.5,1,29.74,,RSI BUY
12:28,^NSEBANK,BUY,55660.1016,1,29.76,,RSI BUY
12:28,SI=F,BUY,72.875,5,28.29,,RSI BUY
12:39,SBIN.NS,BUY,1093.85,2,24.71,,RSI BUY
12:39,MARUTI.NS,BUY,13128.0,1,28.38,,RSI BUY
12:45,DOT-USD,BUY,1.224,24,28.03,,RSI BUY
12:50,TCS.NS,BUY,2441.7,1,27.65,,RSI BUY
12:50,AVAX-USD,BUY,9.15,3,26.9,,RSI BUY
09:15,ICICIBANK.NS,BUY,1289.4,1,25.81,,RSI BUY
09:15,GOLDBEES.NS,BUY,122.44,19,23.48,,RSI BUY
09:20,TATASTEEL.NS,BUY,213.75,12,28.75,,RSI BUY
